Wavelength(nm)	Sample_S1_Abs_coeff(1/cm)	Sample_S2_Abs_coeff(1/cm)
349.17	-0.96722822	-27.90475725
349.62	56.56250604	6.63821976
350.07	26.26968721	24.30165276
350.52	-3.3265872	8.8137178
350.98	61.03878306	36.64885253
351.43	174.46708638	36.92735973
351.88	40.60259303	18.20658764
352.33	22.897304	-5.68409492
352.78	97.23226595	5.4973362
353.23	18.85920054	0.81769232
353.68	73.09254989	8.70323572
354.13	12.38865278	20.56337594
354.58	-10.03532811	-10.75575925
355.04	39.07978826	28.91331248
355.49	26.34319455	-9.63009627
355.94	113.40315062	-10.65471773
356.39	58.74515568	36.95049692
356.84	2.07401406	8.5120355
357.29	17.71080289	19.61711973
357.74	117.68852192	-1.08343874
358.19	103.33754915	6.18085562
358.64	66.24692389	13.54384111
359.09	32.83726129	6.88983795
359.54	17.4536296	8.47809456
359.99	52.1164208	24.37915863
360.44	37.17850182	3.28321728
360.89	29.33488248	4.74042162
361.34	120.51348373	9.33201809
361.79	68.93253416	4.13465822
362.24	42.06078016	-10.0717833
362.69	39.27129404	0.95938786
363.14	143.04954587	5.67864054
363.59	43.90757889	-6.35112903
364.04	91.53023646	7.71445584
364.49	68.56491013	14.73059712
364.94	28.16731431	15.77275417
365.39	29.94594392	-10.73681575
365.84	47.13477826	2.87304689
366.29	30.08935854	5.38017092
366.74	49.24871274	1.05040334
367.19	55.29530654	18.29556426
367.64	221.13115296	14.80573952
368.09	79.32748191	4.47150762
368.54	70.67631041	-3.2869596
368.99	42.8505341	-7.90488617
369.43	132.15678785	14.7162663
369.88	43.99653302	12.74881086
370.33	66.34476743	7.01809276
370.78	90.37762278	18.35663842
371.23	58.29743479	11.35999157
371.68	62.47522568	2.05006512
372.13	47.89864049	-2.93206626
372.58	70.654233	2.51259947
373.03	38.49865622	7.72322713
373.47	37.22588168	0.33562521
373.92	106.53845973	4.90490686
374.37	78.4644869	0.62808094
374.82	81.46535385	2.96935386
375.27	75.95458644	-7.15236408
375.72	58.98668405	12.05186796
376.17	49.9014428	-2.16503379
376.61	47.17550069	6.72617651
377.06	59.88362127	-5.53363254
377.51	51.35999675	1.88806474
377.96	90.30993251	9.34703626
378.41	55.6834447	-1.43304399
378.86	69.49656022	14.93279027
379.3	51.8332675	1.8564746
379.75	64.32975063	-1.60901217
380.2	46.88441536	-3.62381942
380.65	56.33930743	7.76684952
381.09	64.72915398	-1.69004999
381.54	46.48853097	-5.67704554
381.99	59.97899298	14.97430527
382.44	63.14601654	5.20765906
382.89	108.65847951	5.68720473
383.33	76.65587348	13.9557361
383.78	70.99845653	5.50996323
384.23	74.36340422	2.32906638
384.68	40.50027852	-1.27242951
385.12	49.03290301	7.05365572
385.57	Inf	-1.47555483
386.02	63.71673992	10.26903361
386.47	211.86851049	6.16767494
386.91	56.68794656	0.23341229
387.36	133.95462473	6.39609784
387.81	52.28185309	2.0016677
388.25	49.31048103	2.14678535
388.7	105.29873928	6.26062248
389.15	102.91876275	10.18029968
389.59	53.19130406	4.73404207
390.04	60.12181827	6.2787036
390.49	58.220134	2.44473146
390.93	73.2170041	5.71038972
391.38	53.03889398	5.02380441
391.83	70.75808539	4.76268021
392.27	78.16169957	-1.87747541
392.72	52.382063	0.65469402
393.17	60.35874607	1.64406566
393.61	68.70007546	5.89110439
394.06	69.81086822	-4.48427665
394.51	41.06497865	3.45596112
394.95	48.91204236	10.75217977
395.4	44.88348995	-0.00166464
395.85	59.34190529	-0.0508832
396.29	78.88482209	7.9802709
396.74	57.48117046	0.0397048
397.18	51.88443332	7.44045973
397.63	73.1687471	6.6259722
398.08	67.76627947	1.98738491
398.52	55.20138386	-1.10412228
398.97	73.4581415	3.44221026
399.41	61.85671775	1.82831407
399.86	56.19283723	2.24382269
400.3	56.10250299	0.74802488
400.75	52.3307485	-3.99457793
401.19	58.76895094	0.11546818
401.64	51.65157116	-0.25038144
402.09	51.61336633	-0.58236862
402.53	50.70796805	-0.82668994
402.98	71.33259274	-0.58894848
403.42	88.97294416	2.91910719
403.87	38.2257352	-1.82202648
404.31	62.24608633	3.74644647
404.76	62.56709922	5.36112193
405.2	57.74505826	4.42891176
405.65	49.22350897	3.72676095
406.09	44.70455639	-0.52446934
406.54	46.25292033	0.57084799
406.98	44.73807285	-0.95705037
407.43	63.62749157	4.50012839
407.87	41.53760246	0.24220549
408.32	50.90153592	3.67169033
408.76	50.77549981	1.00412341
409.21	50.75969121	2.91514356
409.65	36.82943465	-0.31434718
410.09	42.84170613	4.32496457
410.54	46.58447935	-0.5372781
410.98	62.63441417	6.39271162
411.43	63.63949188	1.76162431
411.87	51.15947098	3.84337078
412.32	43.19341645	2.38863236
412.76	44.40004367	5.68877543
413.2	49.19319928	-0.43925438
413.65	49.28492389	-3.32564518
414.09	38.88543645	-3.82126295
414.54	44.67470757	1.7220815
414.98	41.94673746	-0.29019766
415.42	46.38636031	3.10022253
415.87	48.42174513	3.10999746
416.31	40.74071886	0.58151004
416.76	49.2284446	1.27128141
417.2	44.93744494	2.21996666
417.64	39.97228037	-0.00949313
418.09	44.22709648	2.60724915
418.53	37.43320705	-1.83613663
418.97	41.43247748	4.14954192
419.42	45.44296566	-0.51491623
419.86	45.58255402	3.3926243
420.3	57.48145889	1.67982968
420.75	38.05195126	1.0919731
421.19	59.0480317	4.38722128
421.63	36.28210748	0.5384411
422.08	43.54546984	1.28877503
422.52	33.85760908	0.35179145
422.96	44.10906083	1.41390951
423.4	40.18709586	1.06271371
423.85	40.81682898	2.97927375
424.29	32.66460618	-2.23716091
424.73	33.97317341	0.45106229
