Wavelength_(nm)	S2_1.3uJ(arb.units)	S2_15uJ(arb.units)	S2_400uJ(arb.units)
352.78	-7.8168E-4	0.00513167	0.00523354
353.23	0.00577739	0.00200494	0.00343234
353.68	-4.4198E-4	-0.00156336	-3.397E-4
354.13	3.409E-5	8.4946E-4	-6.7981E-4
354.58	3.738E-4	4.7567E-4	0.00669463
355.04	0.00285481	0.00377204	0.00203903
355.49	0.01175811	0.00411215	0.01196226
355.94	0.00421402	-0.00129144	0.00197085
356.39	6.7981E-4	0.00169933	7.8168E-4
356.84	0.00455373	6.778E-5	0.00424812
357.29	0.00295668	8.1577E-4	0.00479156
357.74	4.7567E-4	0.00108729	0.0018012
358.19	5.4385E-4	-9.8542E-4	0.00207312
358.64	-1.7005E-4	0.00176711	0.00258288
359.09	0.00237873	0.0078842	0.00482565
359.54	0.00431589	0.00258288	0.00686468
359.99	0.00135922	-9.8542E-4	0.0024806
360.44	0.00282071	0.00210681	0.00282071
360.89	8.1577E-4	-7.135E-4	0.00336456
361.34	0.00197085	6.4572E-4	0.00258288
361.79	1.3596E-4	0.00207312	0.00584517
362.24	0.00475787	0.00271884	0.00261657
362.69	0.00652498	0.00530132	0.0014274
363.14	6.4572E-4	0.00197085	0.00237873
363.59	-2.7192E-4	-3.738E-4	0.00390801
364.04	0.00333047	0.00434999	0.00557324
364.49	8.4946E-4	0.00186898	0.00217499
364.94	1.0187E-4	0.00112139	0.00387432
365.39	0.00193716	-0.00122326	0.00244692
365.84	-3.409E-5	-0.00176711	-3.409E-5
366.29	0.00489343	0.00152927	0.00417993
366.74	0.00400988	0.00350012	0.00451963
367.19	0.00282071	8.8355E-4	0.00485974
367.64	5.4385E-4	0.00217499	5.4385E-4
368.09	0.00176711	0.00492752	0.00462191
368.54	5.4385E-4	0.00217499	0.00207312
368.99	0.00441776	0.00156336	0.00819021
369.43	0.00186898	-0.0018012	0.00390801
369.88	0.00479156	0.00336456	0.00152927
370.33	-8.4946E-4	-1.3596E-4	0.00200494
370.78	0.00479156	0.00275253	0.00458782
371.23	0.00156336	0.00421402	-1.7005E-4
371.68	0.00105361	0.00309264	0.00268475
372.13	0.00299036	0.00166524	0.00176711
372.58	3.397E-4	0.00105361	0.00278662
373.03	-4.4198E-4	-2.3783E-4	0.0053695
373.47	7.4759E-4	0.0057433	0.00380614
373.92	2.0374E-4	-0.00285481	-0.00224277
374.37	0.00271884	0.00261657	0.00190307
374.82	0.00288849	0.00156336	0.00166524
375.27	0.00282071	0.00108729	0.00149518
375.72	-0.0014274	7.135E-4	0.00336456
376.17	6.4572E-4	1.3596E-4	-3.738E-4
376.61	0.00159705	0.00282071	0.00261657
377.06	-1.3596E-4	8.8355E-4	0.00598113
377.51	0.00258288	0.00125735	6.4572E-4
377.96	0.0014274	0.00367017	0.0021409
378.41	0.00377204	0.0014274	0.00795198
378.86	2.7192E-4	0.0039421	-0.00166524
