Wavelength(nm)	Pump_35(uJ)	Pump_73(uJ)	Pump_140(uJ)	Pump_260(uJ)	Pump_400(uJ)
232.9	-9.7021E-4	0.00158788	0.00158788	0.00255809	0.00105835	-8.8208E-4
233.36	0.00105835	9.7021E-4	0.00176415	0.00326354	0.00194042	-4.4104E-4
233.83	-8.8208E-4	-0.00123498	-6.1731E-4	-0.00158788	-3.529E-4	-0.00361644
234.29	3.529E-4	8.8208E-4	0.00220519	0.00202891	4.4104E-4	7.058E-4
234.75	0.00511583	0.00529245	0.0028225	0.00485141	0.00273436	0.00546873
235.22	0.00246995	0.00396934	0.00344016	0.0031754	0.00582163	0.00361644
235.68	0.0038812	-3.529E-4	1.7627E-4	0.00238146	6.1731E-4	-0.00141125
236.14	0.00185229	0.00149939	-8.814E-5	0.00149939	7.058E-4	0.00194042
236.61	0.0028225	0.00202891	0.00308726	0.00229333	9.7021E-4	5.2917E-4
237.07	-7.9394E-4	-8.8208E-4	1.7627E-4	-0.00238146	0.00114684	0.00255809
237.53	0.00176415	0.00273436	0.00194042	0	0.00149939	0.00202891
238	-1.7627E-4	0.00246995	0.00132311	-4.4104E-4	2.6476E-4	-3.529E-4
238.46	-1.7627E-4	0.0035283	-6.1731E-4	0.00335203	-0.00141125	2.6476E-4
238.93	-8.8208E-4	0.00141125	-0.00211705	0.00114684	-0.00229333	-0.00114684
239.39	-0.00185229	-0.00149939	-0.00167601	-0.00141125	-3.529E-4	-0.00105835
239.85	8.8208E-4	-5.2917E-4	4.4104E-4	0.00141125	7.9394E-4	0.00123498
240.31	-2.6476E-4	0.00105835	0.00158788	0.00105835	0.00246995	0.00194042
240.78	-9.7021E-4	0.00335203	0.00185229	0.00255809	0.00176415	1.7627E-4
241.24	0.00255809	0.00458665	0.00264623	0.00344016	0.00167601	0.0028225
241.7	-0.00238146	0.00202891	-3.529E-4	-8.8208E-4	0.00105835	0.00211705
242.17	-2.6476E-4	-7.9394E-4	7.9394E-4	0.0028225	7.9394E-4	9.7021E-4
242.63	0.00423375	0.00441038	0.00467479	0.0038812	0.00229333	0.00238146
243.09	0.00414561	0.00255809	0.00555686	0.00555686	0.00246995	0.00485141
243.56	6.1731E-4	3.529E-4	0.00255809	0.0035283	7.058E-4	-0.00141125
244.02	0.00158788	0.00344016	0.00123498	0.00291099	5.2917E-4	0.00105835
244.48	-9.7021E-4	-3.529E-4	-6.1731E-4	-3.529E-4	6.1731E-4	-5.2917E-4
244.94	0.00335203	0.00432224	7.058E-4	0.00105835	-2.6476E-4	0.00132311
245.41	-1.7627E-4	0.00379306	0.00123498	0.00123498	5.2917E-4	8.8208E-4
245.87	-0.00141125	1.7627E-4	-0.00273436	1.7627E-4	0.00176415	0.00141125
246.33	-6.1731E-4	-0.00361644	0.00185229	-5.2917E-4	-0.00132311	-7.058E-4
246.8	0.00105835	0.00264623	0.0031754	-1.7627E-4	0.00291099	0.00202891
247.26	-0.00238146	-1.7627E-4	-0.00105835	5.2917E-4	-0.00229333	-0.00361644
247.72	0.00220519	0.00246995	0.00149939	0.00149939	9.7021E-4	0.00238146
248.18	-0.00158788	9.7021E-4	0.0028225	0.00185229	7.058E-4	0.00194042
248.64	0.00185229	0.00264623	0.00149939	0.00273436	0.00432224	0
249.11	-8.8208E-4	0.00167601	-5.2917E-4	0.00220519	0.00167601	3.529E-4
249.57	-9.7021E-4	0.00344016	0.00529245	0.00220519	0.00149939	-3.529E-4
250.03	-0.00246995	-0.00299913	-0.00176415	-0.00229333	-9.7021E-4	-6.1731E-4
250.49	-0.00502769	-0.0031754	-0.00441038	-0.00220519	-0.00264623	-0.00502769
250.96	0.00141125	-9.7021E-4	-0.00264623	-4.4104E-4	-7.058E-4	-0.00476328
251.42	-0.00149939	-1.7627E-4	-0.00291099	-4.4104E-4	-5.2917E-4	8.8208E-4
251.88	-0.0038812	4.4104E-4	-0.00264623	-0.00229333	-0.00246995	-0.00158788
252.34	0.00246995	0.00291099	-0.0028225	-9.7021E-4	7.9394E-4	8.814E-5
252.8	0.00202891	8.8208E-4	0.00167601	0.00361644	-8.814E-5	0.00238146
253.27	7.058E-4	0.00211705	7.9394E-4	0.00202891	3.529E-4	-2.6476E-4
253.73	0.00476328	2.6476E-4	0	0.00176415	0.00149939	2.6476E-4
254.19	-0.00123498	2.6476E-4	0.00114684	-0.00114684	0.0035283	7.9394E-4
254.65	-0.00246995	-8.814E-5	-0.00141125	-0.00238146	-0.00220519	2.6476E-4
255.11	-0.00220519	0.00149939	-7.9394E-4	-3.529E-4	-9.7021E-4	-0.00149939
255.57	-0.00246995	-0.00123498	-0.00246995	-7.9394E-4	0	-0.00264623
256.04	0.00202891	0.00299913	0.0038812	0.00158788	0.00291099	0.00158788
256.5	-0.00167601	-0.00246995	-0.00291099	1.7627E-4	5.2917E-4	-0.00149939
256.96	-0.00158788	8.814E-5	-5.2917E-4	-7.058E-4	2.6476E-4	7.9394E-4
257.42	0.00167601	0.00105835	-0.00167601	3.529E-4	1.7627E-4	-9.7021E-4
257.88	0.00370458	4.4104E-4	-1.7627E-4	0.00379306	0.0028225	-0.00185229
258.34	-0.00229333	7.9394E-4	7.058E-4	-7.9394E-4	-2.6476E-4	0.00149939
258.8	-0.00229333	-0.00141125	-0.00273436	7.9394E-4	0.00132311	4.4104E-4
259.27	-7.9394E-4	8.814E-5	-8.814E-5	-8.8208E-4	-1.7627E-4	6.1731E-4
259.73	0.00238146	-1.7627E-4	0.00141125	0.00299913	0.00326354	0.00123498
260.19	-2.6476E-4	0.00105835	-2.6476E-4	8.814E-5	0.00229333	6.1731E-4
260.65	-0.00273436	-2.6476E-4	-0.00141125	-0.0035283	-0.00114684	-0.00114684
261.11	-0.00220519	-0.00264623	-0.00158788	-8.8208E-4	-0.00149939	-0.00194042
261.57	0.00202891	0.00246995	6.1731E-4	0.00573349	0.00202891	-4.4104E-4
262.03	0.00379306	-7.9394E-4	-3.529E-4	0.00326354	0.00229333	-9.7021E-4
262.49	-0.00246995	5.2917E-4	8.8208E-4	0.0038812	-8.814E-5	8.814E-5
262.95	0.00194042	0.00211705	-0.00264623	-0.00105835	4.4104E-4	-2.6476E-4
263.41	0.00176415	0.00202891	0.00132311	0.00255809	0.00105835	-8.814E-5
263.88	5.2917E-4	-1.7627E-4	-0.00176415	8.814E-5	0.0028225	-8.8208E-4
264.34	0.00467479	0.00379306	0.0038812	0.00493955	0.00202891	0.00176415
264.8	0.00458665	0.00361644	0.00414561	0.00158788	0.00149939	-1.7627E-4
265.26	0.00255809	0.00141125	0.00167601	0.0035283	0.00194042	0.00194042
265.72	-8.8208E-4	-0.00291099	-0.00291099	8.8208E-4	-0.00246995	-0.00308726
266.18	0.00114684	0.00149939	-0.00105835	0.00132311	0.0031754	8.814E-5
266.64	-8.8208E-4	-0.00220519	-0.00105835	-0.00229333	-0.00308726	-0.00423375
267.1	5.2917E-4	-0.00132311	-1.7627E-4	9.7021E-4	4.4104E-4	4.4104E-4
267.56	-0.00299913	8.8208E-4	-0.00167601	8.8208E-4	-0.00238146	-0.00432224
268.02	-6.1731E-4	-0.00185229	-0.00291099	-0.00185229	-0.00158788	-0.00564535
268.48	0	-0.00105835	-8.8208E-4	2.6476E-4	5.2917E-4	0.00211705
268.94	-0.00326354	-0.00176415	-0.00141125	6.1731E-4	-0.00255809	0.00141125
269.4	-0.00149939	-0.00105835	-0.00255809	-8.814E-5	-0.00194042	-0.0038812
269.86	-0.00238146	-0.00238146	0.00141125	-0.00114684	-8.8208E-4	-0.00132311
270.32	7.9394E-4	0.0028225	0	0.0028225	9.7021E-4	5.2917E-4
270.78	-8.8208E-4	-0.00176415	0.00326354	8.8208E-4	-0.00149939	-0.00211705
271.24	0.00123498	0.0059979	0.00299913	0.00246995	0.0031754	7.058E-4
271.7	-0.00176415	-0.00141125	-0.00211705	-0.00229333	-0.00361644	-0.00299913
272.16	-5.2917E-4	1.7627E-4	-0.00141125	0.00202891	-0.00149939	0.00123498
272.62	-0.00485141	-0.0035283	-0.00246995	-0.00158788	-0.00335203	-0.00467479
273.08	-4.4104E-4	-0.00105835	0.00167601	0.00202891	0.00211705	0.00141125
273.54	4.4104E-4	0.00141125	-9.7021E-4	3.529E-4	1.7627E-4	-8.8208E-4
274	0.00123498	0.0035283	0.00194042	0.00238146	0.00344016	0.00238146
274.46	-0.00202891	-0.00202891	-0.00405748	-0.00176415	-0.00123498	-0.00149939
