Time (ns)	S2_0.6uJ(%)	S2_2.3uJ(%)	S2_6.6uJ(%)	S2_15uJ(%)
-8.68142	99.3444444444444	98.9088888888889	99.3377777777778	99.2133333333333
-8.65642	99.3222222222222	99.0177777777778	99.3333333333333	99.2955555555556
-8.63142	99.3844444444444	99.1377777777778	99.3133333333333	99.3
-8.60642	99.5111111111111	99.2422222222222	99.3066666666667	99.3088888888889
-8.58142	99.6511111111111	99.2888888888889	99.3111111111111	99.3555555555556
-8.55642	99.7688888888889	99.2644444444445	99.3155555555556	99.3955555555555
-8.53142	99.8888888888889	99.2177777777778	99.2977777777778	99.3955555555555
-8.50642	100.013333333333	99.2044444444444	99.2577777777778	99.3844444444444
-8.48142	100.091111111111	99.2044444444444	99.1866666666667	99.3777777777778
-8.45642	100.071111111111	99.1866666666667	99.0733333333333	99.3577777777778
-8.43142	99.9733333333333	99.1533333333333	98.92	99.3022222222222
-8.40642	99.8777777777778	99.1422222222222	98.7822222222222	99.2022222222222
-8.38142	99.8266666666667	99.1533333333333	98.7066666666667	99.0555555555556
-8.35642	99.78	99.1711111111111	98.6977777777778	98.8911111111111
-8.33142	99.6822222222222	99.1777777777778	98.7244444444444	98.7444444444444
-8.30642	99.5355555555555	99.1755555555556	98.7755555555556	98.6688888888889
-8.28142	99.3733333333333	99.16	98.8555555555556	98.6755555555556
-8.25642	99.2288888888889	99.1377777777778	98.9577777777778	98.7333333333333
-8.23142	99.1533333333333	99.1266666666667	99.0422222222222	98.7955555555556
-8.20642	99.1711111111111	99.1266666666667	99.0822222222222	98.8711111111111
-8.18142	99.2644444444445	99.1244444444445	99.0755555555556	98.98
-8.15642	99.4066666666667	99.1155555555555	99.0555555555556	99.0911111111111
-8.13142	99.5333333333333	99.1044444444445	99.1022222222222	99.1777777777778
-8.10642	99.6066666666667	99.0977777777778	99.2577777777778	99.2866666666667
-8.08142	99.6422222222222	99.1155555555555	99.4511111111111	99.4244444444444
