Wavelength (nm)	S2_532(arb.units)	S2_450(arb.units)	S2_400(arb.units)
290.52	0.00630282	-2.3217E-4	0
290.97	0.00742446	-0.00105624	0
291.43	0.00296978	-0.00255632	0
291.89	0.00716398	-3.317E-4	0
292.35	0.00818684	-6.3517E-4	0
292.81	0.00967793	-1.6067E-4	0
293.26	0.00566979	-0.00106132	0
293.72	0.00388809	-2.3217E-4	0
294.18	0.00848364	-2.9595E-4	0
294.64	0.00599228	-0.00251285	0
295.09	0.00719189	-0.00158945	0
295.55	0.00779701	-5.1289E-4	0
296.01	0.00904224	9.6443E-4	0
296.46	0.00621156	-5.204E-4	0
296.92	0.01067244	-0.00157157	0
297.38	0.00732434	-9.0573E-4	0
297.84	0.00713297	-3.819E-5	0
298.29	0.00727296	-0.00146188	0
298.75	0.00493532	-0.00148727	0
299.21	0.00440196	-4.6942E-4	0
299.66	0.00750907	-0.00185737	0
300.12	0.00735668	-0.0011966	0
300.58	0.00711525	-0.00148484	0
301.03	0.00763798	-0.00110723	0
301.49	0.00513776	-0.00115313	0
301.95	0.0057287	-3.8005E-4	0
302.4	0.00612562	3.9548E-4	0
302.86	0.00635597	-0.00121184	0
303.32	0.00505093	-0.00137251	0
303.77	0.00777486	-3.3678E-4	0
304.23	0.00731858	-0.00197721	0
304.69	0.00679896	1.9134E-4	0
305.14	0.00970008	-0.00160732	0
305.6	0.01179629	-0.00131888	0
306.06	0.00890758	1.5051E-4	0
306.51	0.00588995	-3.3922E-4	0
306.97	0.00683927	4.3631E-4	0
307.42	0.00715955	2.6284E-4	0
307.88	0.00329848	1.9642E-4	0
308.34	0.00626383	-0.00114034	0
308.79	0.00371311	-3.6237E-4	0
309.25	0.00644058	-0.00166602	0
309.7	0.01048904	-0.00228332	0
310.16	0.00759368	-4.2859E-4	0
310.62	0.00803888	-0.00118381	0
311.07	0.00925842	-0.0026788	0
311.53	0.00498094	-6.5061E-4	0
311.98	0.00408611	-0.0018854	0
312.44	0.00680472	-0.00149763	0
312.89	0.00621909	-0.00150271	0
313.35	0.00823335	1.1984E-4	0
313.8	0.0067458	2.9331E-4	0
314.26	0.01159606	-0.00207166	0
314.72	0.00792193	6.378E-5	0
315.17	0.00898687	-0.00150007	0
315.63	0.00748249	-0.00259714	0
316.08	0.01034773	-3.3678E-4	0
316.54	0.00944315	2.803E-5	0
316.99	0.00849826	3.7253E-4	0
317.45	0.00702931	-0.00126038	0
317.9	0.00947504	-4.591E-5	0
318.36	0.00578319	-0.00151551	0
318.81	0.00815982	9.953E-5	0
319.27	0.00352529	-1.9906E-4	0
319.72	0.00538672	-0.00212265	0
320.17	0.00783068	-0.00118888	0
320.63	0.00635819	-8.3931E-4	0
321.08	0.00479843	-0.00106904	0
321.54	0.007024	-5.7911E-4	0
321.99	0.0089532	9.953E-5	0
322.45	0.00657304	-0.00137007	0
322.9	0.00600336	1.3264E-4	0
323.36	0.00598564	-0.00112246	0
323.81	0.00521351	-1.428E-4	0
324.26	0.00900902	5.1289E-4	0
324.72	0.00578408	-0.00110215	0
325.17	0.00453353	-7.5765E-4	0
325.63	0.00921501	3.575E-5	0
326.08	0.00847256	-7.219E-4	0
326.54	0.00557942	2.295E-5	0
326.99	0.00932841	-6.7356E-4	0
327.44	0.00457118	4.1844E-4	0
327.9	0.00748559	2.64E-6	0
328.35	0.00389474	-7.7553E-4	0
328.8	0.00746654	-7.902E-5	0
329.26	0.00782625	-9.949E-4	0
329.71	0.00616239	-2.2953E-4	0
330.17	0.00686807	-2.295E-5	0
330.62	0.00821209	-0.00104345	0
331.07	0.00771284	5.5879E-4	0
331.53	0.00576326	-5.1289E-4	0
331.98	0.00730219	-0.00103573	0
332.43	0.00478381	-0.00118381	0
332.89	0.00714493	2.8315E-4	0
333.34	0.00874987	1.4036E-4	0
333.79	0.00649862	0.00142106	0
334.25	0.00849604	-0.00210477	0
334.7	0.0045477	-0.00135727	0
335.15	0.00736554	2.4233E-4	0
335.6	0.00748337	-0.00118624	0
336.06	0.0078072	-7.0667E-4	0
336.51	0.00709709	-0.00148484	0
336.96	0.00666784	-0.00122463	0
337.42	0.00671213	-3.445E-4	0
337.87	0.00585894	-6.9387E-4	0
338.32	0.00997163	-0.00184701	0
338.77	0.0083946	8.409E-5	0
339.23	0.0062625	-0.00139038	0
339.68	0.00634711	8.673E-5	0
340.13	0.00571984	-0.00129593	0
340.58	0.00923937	1.787E-5	0
341.04	0.0052711	5.4336E-4	0
341.49	0.00794851	-3.9284E-4	0
341.94	0.00831486	7.0159E-4	0
342.39	0.00792725	-0.0011966	0
342.85	0.00673207	-0.00191343	0
343.3	0.00639496	-0.00182405	0
343.75	0.00881632	2.9859E-4	0
344.2	0.00967439	0	0
344.65	0.00584432	-0.00124759	0
345.11	0.00349517	2.4497E-4	0
345.56	0.00570611	-8.673E-5	0
346.01	0.00743908	-4.1072E-4	0
346.46	0.00546468	-7.4242E-4	0
346.91	0.00779701	2.5776E-4	0
347.36	0.00753565	-1.2248E-4	0
347.82	0.00691812	-6.6848E-4	0
348.27	0.00754362	-5.5108E-4	0
348.72	0.00360104	-4.5926E-4	0
349.17	0.00670682	-8.649E-4	0
349.62	0.0065088	3.0103E-4	0
350.07	0.00246389	-0.00180882	0
350.52	0.00718967	-0.00100526	0
350.98	0.00714493	-5.6895E-4	0
351.43	0.00402941	-9.0309E-4	0
351.88	0.00476609	3.5709E-4	0
352.33	0.00811995	-9.3884E-4	0
352.78	0.00471249	-5.1025E-4	0
353.23	0.00660006	-0.00111231	0
353.68	0.00554708	-0.00149499	0
354.13	0.00663638	-5.1533E-4	0
354.58	0.00444537	-5.606E-5	0
355.04	0.00387259	-7.6801E-4	0
355.49	0.00924247	-9.181E-5	0
355.94	0.00636838	-3.9792E-4	0
356.39	0.0062625	-8.3931E-4	0
356.84	0.00827809	-0.00222725	0
357.29	0.0073208	-5.7403E-4	0
357.74	0.00641179	-0.00117609	0
358.19	0.00850623	-3.0875E-4	0
358.64	0.0032338	3.317E-4	0
359.09	0.00720429	9.8739E-4	0
359.54	0.00654291	-0.00231135	0
359.99	0.00719721	-0.00153318	0
360.44	0.0077629	7.72E-6	0
360.89	0.00580888	-0.00138531	0
361.34	0.0073363	-5.4336E-4	0
361.79	0.00774252	4.3367E-4	0
362.24	0.0088243	-0.00224757	0
