Time(ns)	Amplitude(arb. Unit)		
-42.885	101.46873
-42.86	101.592025
-42.835	101.568607
-42.81	101.361877
-42.785	101.100525
-42.76	100.901344
-42.735	100.84023
-42.71	100.832738
-42.685	100.801352
-42.66	100.748139
-42.635	100.778631
-42.61	100.985361
-42.585	101.3925
-42.56	101.88318
-42.535	102.266197
-42.51	102.427492
-42.485	102.412508
-42.46	102.289975
-42.435	102.121238
-42.41	101.936467
-42.385	101.898705
-42.36	102.05959
-42.335	102.312402
-42.31	102.52768
-42.285	102.634639
-42.26	102.588738
-42.235	102.366492
-42.21	101.990328
-42.185	101.537631
-42.16	101.093254
-42.135	100.701689
-42.11	100.40327
-42.085	100.257074
-42.06	100.27991
-42.035	100.463918
-42.01	100.778492
-41.985	101.139025
-41.96	101.445811
-41.935	101.660975
-41.91	101.759975
-41.885	101.744639
-41.86	101.591893
-41.835	101.330713
-41.81	101.016254
-41.785	100.69418
-41.76	100.302795
-41.735	99.788918
-41.71	99.236869
-41.685	98.907189
-41.66	98.860943
-41.635	98.929975
-41.61	98.983664
-41.585	99.053221
-41.56	99.190934
-41.535	99.344508
-41.51	99.4595
-41.485	99.590066
-41.46	99.751246
-41.435	99.881516
-41.41	99.927311
-41.385	99.919287
-41.36	99.896344
-41.335	99.835631
-41.31	99.72041
-41.285	99.666728
-41.26	99.750746
-41.235	99.927442
-41.21	100.049861
-41.185	100.027434
-41.16	99.920057
-41.135	99.84318
-41.11	99.957811
-41.085	100.357041
-41.06	100.909197
-41.035	101.415164
-41.01	101.760246
-40.985	101.928984
-40.96	101.921369
-40.935	101.8445
-40.91	101.798418
-40.885	101.752344
-40.86	101.576057
-40.835	101.193033
-40.81	100.671082
-40.785	100.118852
-40.76	99.689631
-40.735	99.535885
-40.71	99.766443
-40.685	100.218836
-40.66	100.671057
-40.635	100.947639
-40.61	101.039385
-40.585	101.008648
-40.56	100.893311
-40.535	100.763336
-40.51	100.647885
-40.485	100.540746
-40.46	100.417795
-40.435	100.264582
-40.41	100.149828
-40.385	100.134303
-40.36	100.295598
-40.335	100.59477
-40.31	100.862861
-40.285	101.031648
-40.26	101.031713
-40.235	100.847877
-40.21	100.525344
-40.185	100.226574
-40.16	100.09573
-40.135	100.150008
-40.11	100.2955
-40.085	100.4715
-40.06	100.717344
-40.035	101.031869
-40.01	101.330811
-39.985	101.553057
-39.96	101.745377
-39.935	101.960066
-39.91	102.190033
-39.885	102.343008
-39.86	102.404361
-39.835	102.404762
-39.81	102.47332
-39.785	102.704057
-39.76	103.071746
-39.735	103.416893
-39.71	103.578197
-39.685	103.470598
-39.66	103.187
-39.635	102.773016
-39.61	102.174484
-39.585	101.430697
-39.56	100.663664
-39.535	99.981107
-39.51	99.398434
-39.485	98.922615
-39.46	98.65382
-39.435	98.584959
-39.41	98.607795
-39.385	98.638705
-39.36	98.646902
-39.335	98.592697
-39.31	98.477533
-39.285	98.416295
-39.26	98.585148
-39.235	98.983795
-39.21	99.459557
-39.185	99.86582
-39.16	100.088066
-39.135	100.073426
-39.11	99.880975
-39.085	99.673893
-39.06	99.559189
-39.035	99.444557
-39.01	99.26809
-38.985	99.114115
-38.96	99.021967
-38.935	98.991811
-38.91	99.014877
-38.885	99.129574
-38.86	99.360131
-38.835	99.71241
-38.81	100.14982
-38.785	100.61773
-38.76	100.93968
-38.735	100.947639
-38.71	100.656246
-38.685	100.272877
-38.66	99.973172
-38.635	99.8045
-38.61	99.674402
-38.585	99.536344
-38.56	99.482664
-38.535	99.52827
-38.51	99.636066
-38.485	99.72032
-38.46	99.773598
-38.435	99.751352
-38.41	99.658902
-38.385	99.54368
-38.36	99.436541
-38.335	99.39041
-38.31	99.390352
-38.285	99.420852
-38.26	99.398197
-38.235	99.275238
-38.21	99.091279
-38.185	98.945549
-38.16	98.861303
-38.135	98.823246
-38.11	98.822828
-38.085	98.853975
-38.06	98.915049
-38.035	98.968443
-38.01	99.07582
-37.985	99.252164
-37.96	99.459369
-37.935	99.604861
