Wavelength(nm)	S1_532(arb.units)	S1_450(arb.units)	S1_400(arb.units)
329.26	0.00882784	-2.2953E-4	0
329.71	0.00549481	0.00176027	0
330.17	0.00442012	1.8119E-4	0
330.62	0.00709931	0.00166074	0
331.07	0.00259369	0.00214052	0
331.53	0.00542925	9.953E-5	0
331.98	0.0054102	6.4797E-4	0
332.43	0.00289226	-5.7139E-4	0
332.89	0.0036954	0.00130365	0
333.34	0.00530034	9.0573E-4	0
333.79	0.00939176	4.0056E-4	0
334.25	0.00660449	-7.7817E-4	0
334.7	0.00354655	0.00160224	0
335.15	0.00235802	0.00177307	0
335.6	0.00525781	0.00248746	0
336.06	0.00458004	3.1383E-4	0
336.51	0.00309116	0.00121956	0
336.96	0.00499866	0.00107148	0
337.42	0.00593336	-8.937E-5	0
337.87	0.00296535	0.00124495	0
338.32	0.00496411	3.9792E-4	0
338.77	0.00572427	8.4946E-4	0
339.23	0.00559492	0.00110987	0
339.68	0.00567953	9.5407E-4	0
340.13	0.00672099	0.00202047	0
340.58	0.00334145	0.00124251	0
341.04	0.00438114	0.00115578	0
341.49	0.00516655	-5.9698E-4	0
341.94	0.00352972	-1.1477E-4	0
342.39	0.00269735	0.00109951	0
342.85	0.00517453	-2.8072E-4	0
343.3	0.00706298	-0.0010077	0
343.75	0.00314122	9.1081E-4	0
344.2	0.00277531	7.1439E-4	0
344.65	0.00562194	0.00257927	0
345.11	0.00494196	0.00116329	0
345.56	0.0020342	0.00103573	0
346.01	0.00654867	5.0761E-4	0
346.46	0.00513112	-7.902E-5	0
346.91	0.00612784	0.0011251	0
347.36	0.00642286	0.00105117	0
347.82	0.00402498	4.03E-4	0
348.27	0.00331487	0.00103065	0
348.72	0.00415743	6.634E-4	0
349.17	0.00537121	2.0658E-4	0
349.62	0.00750995	-3.6237E-4	0
350.07	0.00435545	0.0011507	0
350.52	0.0046301	-2.3989E-4	0
350.98	0.00336183	-1.0969E-4	0
351.43	0.00402941	0.00118888	0
351.88	0.00476609	-5.098E-5	0
352.33	-8.935E-4	0.00156141	0
352.78	0.00104058	0.00112246	0
353.23	0.00559847	3.1626E-4	0
353.68	0.00332151	0.00202576	0
354.13	0.00263046	0.00101542	0
354.58	0.00622618	0.00162763	0
355.04	0.00298219	0.00137515	0
355.49	0.00178701	0.00113282	0
355.94	0.00525559	6.7356E-4	0
356.39	0.0024794	7.4242E-4	0
356.84	0.00560733	6.886E-5	0
357.29	0.00398245	7.0159E-4	0
357.74	0.00563302	0.00168126	0
358.19	0.00438867	3.0367E-4	0
358.64	0.00401257	0.0020154	0
359.09	7.4998E-4	0.00170157	0
359.54	0.00687693	8.5211E-4	0
359.99	0.00830999	0.00234466	0
360.44	0.00564852	0.00194654	0
360.89	0.00413971	8.5982E-4	0
361.34	0.00321918	-5.9434E-4	0
361.79	0.00451581	-5.3584E-4	0
362.24	0.00426198	0.00112003	0
362.69	0.00189155	3.3678E-4	0
363.14	0.00225879	0.00131645	0
363.59	0.00114822	0.002393	0
364.04	0.00277398	0.002393	0
364.49	0.00417736	0.00120412	0
364.94	0.00645742	0.00250777	0
365.39	0.00308009	0.00115313	0
