time (ns)	S2_61uJ(%)	S2_176uJ(%)	S2_400uJ(%)	
-29.325	99.636074	99.980569	99.362825
-29.3	99.781328	99.972432	99.043183
-29.275	99.942631	100.054421	98.793242
-29.25	100.080566	100.192494	98.637292
-29.225	100.126459	100.257214	98.583067
-29.2	100.027393	100.054421	98.58325
-29.175	99.850516	99.500636	98.660983
-29.15	99.63623	98.71971	98.95735
-29.125	99.290746	98.028287	99.448658
-29.1	98.7695	97.702765	100.010025
-29.075	98.224893	97.73513	100.540317
-29.05	97.856402	97.946496	101.05465
-29.025	97.703475	98.198548	101.538275
-29	97.68	98.442896	101.912433
-28.975	97.803246	98.687487	102.185167
-28.95	98.094516	98.898357	102.404025
-28.925	98.470098	99.036617	102.567475
-28.9	98.830631	99.061148	102.583367
-28.875	99.17559	99.037304	102.466217
-28.85	99.536131	99.077617	102.271158
-28.825	99.896664	99.256496	102.013483
-28.8	100.226344	99.49233	101.655575
-28.775	100.495131	99.57413	101.296767
-28.75	100.617672	99.476435	101.03885
-28.725	100.464508	99.265191	100.867492
-28.7	100.049811	99.053261	100.657083
-28.675	99.544197	98.841704	100.360725
-28.65	99.183664	98.670713	100.033717
-28.625	99.052754	98.605991	99.682358
-28.6	99.122189	98.719774	99.331715
-28.575	99.244852	98.988218	99.128628
-28.55	99.306213	99.362747	99.199048
-28.525	99.252705	99.825907	99.565715
-28.5	99.106811	100.306458	100.048689
-28.475	98.96109	100.761607	100.547971
-28.45	98.876664	101.201666	101.054512
-28.425	98.845861	101.608063	101.429267
-28.4	98.837893	101.868625	101.569733
-28.375	98.876943	101.85217	101.499433
-28.35	98.960656	101.542611	101.342883
-28.325	99.037639	101.079261	101.124608
-28.3	99.12218	100.542121	100.836508
-28.275	99.306246	100.030011	100.56335
-28.25	99.659115	99.614423	100.415133
-28.225	100.081066	99.313743	100.376267
-28.2	100.4255	99.053374	100.321983
-28.175	100.594533	98.768539	100.220433
-28.15	100.56391	98.499974	100.11895
-28.125	100.341672	98.248052	99.97085
-28.1	100.065033	97.963217	99.682167
-28.075	99.865975	97.637687	99.339067
-28.05	99.751049	97.328557	99.050792
-28.025	99.597246	97.165948	98.832575
-28	99.359434	97.108252	98.614483
-27.975	99.129754	97.092539	98.418892
-27.95	98.999139	97.092165	98.278658
-27.925	98.945861	97.10887	98.146583
-27.9	98.960672	97.092417	97.974683
-27.875	99.045623	97.002539	97.787728
-27.85	99.129754	96.978261	97.73333
-27.825	99.122025	97.271617	97.94393
-27.8	99.05282	97.905774	98.41161
-27.775	99.037828	98.727939	99.058571
-27.75	99.061074	99.606878	99.713507
-27.725	99.022549	100.469235	100.259335
-27.7	98.930164	101.160965	100.587009
-27.675	98.907385	101.53499	100.703792
-27.65	98.96073	101.649018	100.704208
-27.625	98.976713	101.657085	100.657417
-27.6	98.953123	101.583852	100.5639
-27.575	99.052648	101.412363	100.415383
-27.55	99.336836	101.217524	100.228058
-27.525	99.72009	101.054862	100.049183
-27.5	100.042689	100.965557	99.846383
