Time (ns)	S1_0.6uJ(%)	S1_2.3uJ(%)	S1_6.6uJ(%)	S1_15uJ(%)
-9.23142	100.672727272727	100.404545454545	99.7636363636364	100.304545454545
-9.20642	100.836363636364	100.461363636364	99.8181818181818	100.163636363636
-9.18142	101.013636363636	100.465909090909	99.9	99.9704545454545
-9.15642	101.190909090909	100.415909090909	99.9659090909091	99.7909090909091
-9.13142	101.338636363636	100.329545454545	100.002272727273	99.6704545454545
-9.10642	101.393181818182	100.215909090909	100.040909090909	99.625
-9.08142	101.338636363636	100.084090909091	100.109090909091	99.6454545454545
-9.05642	101.218181818182	99.9704545454545	100.168181818182	99.7363636363636
-9.03142	101.109090909091	99.8795454545455	100.172727272727	99.8590909090909
-9.00642	101.015909090909	99.8090909090909	100.147727272727	99.9818181818182
-8.98142	100.925	99.75	100.131818181818	100.063636363636
-8.95642	100.847727272727	99.7	100.113636363636	100.072727272727
-8.93142	100.820454545455	99.6704545454545	100.072727272727	100.027272727273
-8.90642	100.843181818182	99.6886363636364	100.022727272727	99.9590909090909
-8.88142	100.872727272727	99.7613636363636	99.9795454545455	99.9068181818182
-8.85642	100.872727272727	99.8545454545455	99.9068181818182	99.8522727272727
-8.83142	100.847727272727	99.9431818181818	99.7795454545454	99.7818181818182
-8.80642	100.797727272727	100.015909090909	99.625	99.7295454545454
-8.78142	100.722727272727	100.072727272727	99.4909090909091	99.7318181818182
-8.75642	100.636363636364	100.109090909091	99.4	99.7772727272727
-8.73142	100.563636363636	100.120454545455	99.3386363636364	99.8181818181818
-8.70642	100.509090909091	100.109090909091	99.3	99.8568181818182
-8.68142	100.468181818182	100.097727272727	99.275	99.9272727272727
-8.65642	100.447727272727	100.113636363636	99.2363636363636	100.018181818182
-8.63142	100.461363636364	100.163636363636	99.175	100.054545454545
-8.60642	100.472727272727	100.234090909091	99.1227272727273	100.009090909091
-8.58142	100.461363636364	100.306818181818	99.0931818181818	99.9431818181818
-8.55642	100.447727272727	100.356818181818	99.0772727272727	99.9022727272727
-8.53142	100.45	100.368181818182	99.0590909090909	99.8886363636364
-8.50642	100.45	100.334090909091	99.0704545454546	99.8909090909091
-8.48142	100.422727272727	100.247727272727	99.1363636363636	99.8909090909091
-8.45642	100.386363636364	100.122727272727	99.2090909090909	99.8636363636364
-8.43142	100.379545454545	99.9931818181818	99.2340909090909	99.8204545454546
-8.40642	100.395454545455	99.8795454545455	99.2613636363636	99.8068181818182
-8.38142	100.397727272727	99.7954545454545	99.3613636363636	99.825
-8.35642	100.365909090909	99.7704545454545	99.5	99.8045454545454
-8.33142	100.329545454545	99.825	99.5795454545455	99.7181818181818
-8.30642	100.343181818182	99.9272727272727	99.6159090909091	99.6068181818182
-8.28142	100.404545454545	100.029545454545	99.6909090909091	99.5295454545454
-8.25642	100.475	100.120454545455	99.7886363636364	99.5022727272727
-8.23142	100.536363636364	100.218181818182	99.8136363636364	99.5272727272727
-8.20642	100.588636363636	100.322727272727	99.7613636363636	99.5977272727273
-8.18142	100.622727272727	100.425	99.7318181818182	99.6931818181818
-8.15642	100.638636363636	100.5	99.7386363636364	99.7886363636364
-8.13142	100.636363636364	100.522727272727	99.6886363636364	99.8818181818182
-8.10642	100.604545454545	100.495454545455	99.575	100.002272727273
-8.08142	100.511363636364	100.447727272727	99.4886363636364	100.143181818182
-8.05642	100.361363636364	100.425	99.4545454545455	100.259090909091
-8.03142	100.204545454545	100.454545454545	99.3840909090909	100.343181818182
-8.00642	100.059090909091	100.481818181818	99.2409090909091	100.409090909091
-7.98142	99.9295454545454	100.443181818182	99.1113636363636	100.470454545455
