Wavelength_(nm)	S1_1.3uJ(arb.units)	S1_15uJ(arb.units)	S1_400uJ(arb.units)
333.34	-0.00139331	0.0024806	0.00146149
333.79	3.0602E-4	0	0.00112139
334.25	0.00183529	8.1577E-4	0.00101952
334.7	-0.00149518	6.4572E-4	0.00329638
335.15	6.4572E-4	0.00411215	3.397E-4
335.6	0.00200494	0.00333047	0.0018012
336.06	-3.409E-5	0.0018012	0.00302445
336.51	-7.4759E-4	1.7005E-4	0.00434999
336.96	0.00319451	0.00125735	0.00176711
337.42	0.0014274	0.00295668	6.1163E-4
337.87	-2.0374E-4	0.00112139	0.00152927
338.32	-0.00173301	-2.0374E-4	0.00265066
338.77	0.00183529	0.00316042	0.00723848
339.23	-0.00193716	5.0976E-4	2.0374E-4
339.68	6.4572E-4	-1.7005E-4	-0.00363608
340.13	0.00285481	0.00234505	0.0035683
340.58	0.00292258	-0.00156336	0.0025147
341.04	0.00734035	0.00326229	0.00468969
341.49	7.8168E-4	0.00384023	0.00282071
341.94	0.00234505	0.00275253	0.00305855
342.39	0.00598113	0.00404397	0.00363608
342.85	0.00237873	0.00462191	0.00135922
343.3	0.00227686	0.0024806	0.00299036
343.75	4.0789E-4	0.00254879	0.00183529
344.2	0.00326229	-0.00224277	0.00173301
344.65	0.00227686	-2.7192E-4	0.00421402
345.11	0.00339825	6.4572E-4	0.00411215
345.56	0.00234505	0.00346643	0.00458782
346.01	0.00268475	0.00135922	0.00319451
346.46	9.1764E-4	0.0014274	0.00285481
346.91	5.0976E-4	0.0035683	5.0976E-4
347.36	0.00275253	0	0.00458782
347.82	0.0039421	0.00516535	5.7754E-4
348.27	0.00370427	0.00166524	0.00115548
348.72	9.5174E-4	0.00421402	0.00146149
349.17	0.00288849	3.397E-4	0.00472378
349.62	-0.00333047	-5.7754E-4	0.00370427
350.07	0.00373836	0.00720439	0.00190307
350.52	8.4946E-4	-7.8168E-4	-6.7981E-4
350.98	0.0021409	-0.00112139	1.0187E-4
351.43	0.00370427	0.00482565	0.00176711
351.88	0.00105361	0.00227686	0.00135922
352.33	0.00108729	9.8542E-4	0.00363608
352.78	0.00166524	0.00288849	-0.0018012
353.23	-0.00176711	0.00210681	0.00333047
353.68	-3.397E-4	-0.00197085	3.738E-4
354.13	0.00258288	0.00135922	-0.0018012
354.58	0.00129144	0.00139331	0.00292258
355.04	2.0374E-4	0.00346643	0.00397619
355.49	0.01165624	0.00971949	0.00992323
355.94	0.00176711	-0.00149518	-8.8355E-4
356.39	0.0018012	0.00241283	0.00118957
356.84	6.7981E-4	0.0018012	0.00292258
357.29	0.00101952	0.00163114	0.00254879
357.74	0.00159705	8.8355E-4	0.00302445
358.19	7.4759E-4	-2.7192E-4	8.4946E-4
358.64	0.00207312	-4.7567E-4	0.00482565
359.09	0.00411215	3.397E-4	0.00278662
359.54	-9.8542E-4	0.00237873	0.00472378
359.99	-4.7567E-4	-6.7981E-4	0.00513167
360.44	0.00210681	0.00139331	1.7005E-4
360.89	-0.0021409	-0.00163114	-6.1163E-4
361.34	0.00288849	-0.00149518	0.00278662
361.79	-0.00292258	0.00237873	0.00217499
362.24	1.7005E-4	0.00108729	0.00333047
362.69	0.00591295	0.00254879	0.00132553
363.14	-0.00220909	0.00370427	0.00176711
363.59	0.00278662	0.00227686	0.00482565
364.04	9.8542E-4	-2.3783E-4	0.0053695
364.49	0.00176711	0.00350012	0.00197085
364.94	0.00530132	4.0789E-4	0.00183529
365.39	-9.1764E-4	6.1163E-4	0.0035683
365.84	0.00210681	0.00139331	0.00231096
366.29	-3.0602E-4	3.0602E-4	6.1163E-4
366.74	0.00513167	0.00350012	0.00584517
367.19	0.00333047	-0.00176711	0.0018012
367.64	-0.00108729	0.00105361	0.00339825
368.09	1.3596E-4	0.00146149	0.00390801
368.54	-0.00343234	-6.778E-5	0.00166524
368.99	0.00462191	0.0036024	8.4946E-4
369.43	0.00125735	-6.778E-5	0.00441776
369.88	0.00438408	0.00183529	0.0035683
370.33	-0.00309264	-0.00227686	0.00343234
370.78	0.00367017	0.00285481	0.00458782
371.23	3.409E-5	-0.00190307	0.00186898
371.68	0.00217499	0.00431589	0.00451963
372.13	0.00400988	-0.00108729	-0.00108729
372.58	0.00227686	0.00166524	0.00227686
373.03	9.8542E-4	0.00241283	-1.3596E-4
373.47	0.00146149	2.3783E-4	0.00523354
373.92	-0.00112139	-0.00305855	-0.00254879
374.37	0.00282071	0.00108729	0.00434999
374.82	0.00115548	6.4572E-4	9.5174E-4
375.27	-5.4385E-4	-4.4198E-4	-0.00288849
375.72	-0.00367017	0.00468969	0.00163114
376.17	-1.7005E-4	-0.00159705	0.00176711
376.61	0.00129144	0.00261657	0.00424812
377.06	0.00271884	0.00424812	0.00302445
377.51	0.00390801	0.00156336	0.00400988
377.96	0.0035683	-0.00305855	0.0021409
378.41	7.135E-4	0.00224277	0.00489343
378.86	-7.4759E-4	0.00159705	0.0032286
379.3	2.3783E-4	0.00370427	-0.00118957
379.75	0.00176711	-6.7981E-4	7.4759E-4
380.2	-0.00125735	-0.00268475	0.00169933
380.65	0.0024806	0.00237873	0.00451963
381.09	-0.00339825	-9.5174E-4	0.00455373
381.54	-0.00207312	-0.00176711	0.00292258
381.99	0.00101952	-0.00203903	0.00316042
382.44	9.5174E-4	0.00166524	0.0036024
382.89	0.00397619	0.0014274	0.00132553
383.33	0.00390801	0.00615118	0.00523354
383.78	0.00197085	0.00227686	0.00462191
384.23	6.1163E-4	-5.0976E-4	0.0014274
384.68	0.00207312	0.00299036	0.00299036
385.12	3.738E-4	0.00220909	0.00292258
385.57	-5.0976E-4	0.0014274	0.00203903
386.02	-1.7005E-4	-0.00149518	0.00176711
386.47	0.00258288	-2.7192E-4	-2.7192E-4
386.91	0.0025147	0.00445186	0.00384023
387.36	0.00163114	1.0187E-4	0.00468969
387.81	0.00485974	0.00506348	0.00516535
388.25	0.00139331	-0.00207312	0.00343234
388.7	-3.409E-5	7.8168E-4	0.00445186
389.15	7.4759E-4	-0.00159705	3.397E-4
389.59	0.00390801	0.00197085	0.00197085
390.04	0.00309264	-0.00149518	2.3783E-4
390.49	0.00176711	0.00186898	0.00604891
390.93	-9.5174E-4	0.00271884	0.00353421
391.38	1.3596E-4	-7.8168E-4	0.00176711
391.83	0.00166524	0.0036024	0.00319451
392.27	-0.0014274	-1.0187E-4	0.00101952
392.72	-2.7192E-4	0.00237873	0.00207312
393.17	0.00186898	0.00268475	0.00329638
393.61	0.00278662	-0.00129144	0.00727257
394.06	-9.1764E-4	-1.0187E-4	0.00173301
394.51	-0.00149518	4.4198E-4	-2.7192E-4
394.95	0.00309264	5.4385E-4	0.00278662
395.4	9.8542E-4	0.0018012	0.00169933
395.85	5.4385E-4	0.00278662	0.00319451
396.29	4.4198E-4	0.00350012	0.00380614
